study,cite,pop,total.cases,total.controls
1,vanderSlik:2003gq,Dutch,149,207
2,NikitinaZake:2004jv,Latvian,98,100
3,Middleton:2006ba,Finnish,137,101
4,Santin:2006hh,Basque,76,71
5,PARK:2006km,SouthKorean,139,132
6,Mogami:2007gj,Japanese,204,240
7,vanderSlik:2007hi,Dutch,275,215
8,Shastry:2008id,Latvian,98,100
9,RamosLopez:2009jf,Belgian,394,401
10,RamosLopez:2009jf,German,380,315
11,Jobim:2010,SouthBrazilian,248,250
12,Zhi:2011kl,ChineseHan,259,262
13,Mehers:2011fj,British,394,168
14,Pontikos:2014ho,British,6744,5362
